job_title,experience_level,country,salary_usd,remote_ratio,employment_type,company_size,currency
AI/ML Engineer,Senior,Netherlands,96505,100,FT,L,USD
Backend Developer,Senior,Japan,90554,100,FT,S,USD
AI/ML Engineer,Junior,United States,118285,100,FT,L,USD
Frontend Engineer,Principal,Poland,159583,0,FT,L,USD
Frontend Engineer,Mid,Japan,69938,100,FT,M,USD
Data Scientist,Junior,Netherlands,62137,0,FT,L,USD
Cloud Security Engineer,Junior,United States,122993,50,FT,S,USD
Backend Developer,Junior,Singapore,56918,100,FT,M,USD
Senior Software Engineer,Junior,Germany,45019,100,FT,M,USD
Backend Developer,Junior,Netherlands,51229,100,FT,L,USD
Data Scientist,Senior,Singapore,113362,100,FT,M,USD
DevOps Specialist,Mid,Singapore,67019,100,FT,L,USD
DevOps Specialist,Mid,Estonia,72997,0,FT,S,USD
Senior Software Engineer,Senior,Estonia,110601,50,FT,M,USD
Fullstack Architect,Principal,Poland,148054,0,FT,S,USD
Fullstack Architect,Junior,Canada,54039,0,FT,M,USD
Backend Developer,Mid,United States,177475,0,FT,L,USD
Senior Software Engineer,Mid,United States,147493,0,FT,S,USD
Senior Software Engineer,Senior,Japan,94623,100,FT,L,USD
Senior Software Engineer,Lead,Australia,105735,100,FT,L,USD
AI/ML Engineer,Senior,Australia,90934,100,FT,S,USD
Senior Software Engineer,Mid,Singapore,77980,100,FT,M,USD
Senior Software Engineer,Mid,Canada,60223,50,FT,L,USD
Fullstack Architect,Mid,Japan,80051,100,FT,S,USD
DevOps Specialist,Lead,Estonia,127392,0,FT,S,USD
Data Scientist,Senior,United States,182058,100,FT,L,USD
Data Scientist,Principal,Germany,126345,50,FT,L,USD
Senior Software Engineer,Mid,Estonia,70956,0,FT,S,USD
Frontend Engineer,Mid,India,83624,50,FT,S,USD
AI/ML Engineer,Mid,Poland,68453,50,FT,M,USD
Backend Developer,Lead,Japan,114350,100,FT,L,USD
Data Scientist,Mid,Japan,62974,100,FT,L,USD
Senior Software Engineer,Lead,Bangladesh,131069,100,FT,L,USD
Backend Developer,Principal,Netherlands,138752,0,FT,M,USD
Data Scientist,Principal,Poland,145867,50,FT,S,USD
Frontend Engineer,Junior,Netherlands,61810,100,FT,S,USD
AI/ML Engineer,Senior,Estonia,108805,100,FT,M,USD
Data Scientist,Lead,Netherlands,107647,100,FT,L,USD
Data Scientist,Junior,Bangladesh,48516,100,FT,M,USD
Data Scientist,Mid,India,74328,50,FT,S,USD
Fullstack Architect,Senior,Poland,116873,50,FT,L,USD
DevOps Specialist,Mid,Japan,72209,100,FT,S,USD
Senior Software Engineer,Lead,Netherlands,128173,100,FT,M,USD
Cloud Security Engineer,Lead,Singapore,123449,100,FT,L,USD
Frontend Engineer,Principal,Germany,165302,0,FT,S,USD
Data Scientist,Mid,Canada,73143,50,FT,S,USD
Cloud Security Engineer,Senior,Singapore,107365,100,FT,L,USD
Backend Developer,Principal,Australia,134829,50,FT,S,USD
DevOps Specialist,Principal,Netherlands,132300,100,FT,M,USD
Frontend Engineer,Lead,Canada,102573,0,FT,S,USD
AI/ML Engineer,Junior,Poland,52477,0,FT,L,USD
DevOps Specialist,Mid,Germany,78422,100,FT,S,USD
AI/ML Engineer,Lead,Australia,129592,0,FT,M,USD
AI/ML Engineer,Senior,Japan,97528,0,FT,S,USD
Backend Developer,Mid,Japan,85522,100,FT,L,USD
Frontend Engineer,Senior,Netherlands,91862,100,FT,S,USD
Senior Software Engineer,Principal,Canada,141007,100,FT,M,USD
Cloud Security Engineer,Junior,Germany,49608,50,FT,S,USD
DevOps Specialist,Mid,United Kingdom,60711,100,FT,L,USD
Frontend Engineer,Senior,Bangladesh,87219,100,FT,S,USD
Fullstack Architect,Lead,United Kingdom,120635,0,FT,L,USD
DevOps Specialist,Senior,Canada,108424,100,FT,L,USD
Data Scientist,Senior,Canada,100617,50,FT,M,USD
DevOps Specialist,Senior,Japan,94427,100,FT,M,USD
Cloud Security Engineer,Principal,United Kingdom,126256,100,FT,S,USD
Fullstack Architect,Mid,Singapore,59860,0,FT,S,USD
Fullstack Architect,Mid,Bangladesh,84097,50,FT,L,USD
Fullstack Architect,Mid,Germany,61239,0,FT,S,USD
Cloud Security Engineer,Mid,Poland,80368,50,FT,M,USD
